investor	('investor', 'investors')
remedi	('remediate', 'remedial', 'remediated', 'remediation', 'remedies', 'remedy')
vulner	('vulnerabilities', 'vulnerable', 'vulnerability')
unsatisfactori	('unsatisfactory',)
discov	('discovered', 'discover')
undiscov	('undiscovered',)
unscrupul	('unscrupulous',)
malici	('malicious',)
attack	('attack', 'attacks')
tier	('tier',)
warranti	('warranty', 'warranties')
repair	('repair',)
recal	('recall',)
divert	('divert',)
claim	('claim', 'claims', 'claimed')
defend	('defending', 'defend', 'defendants')
inadequ	('inadequate',)
84%	('84%',)
war	('war',)
terror	('terrorism',)
catastroph	('catastrophic',)
recess	('recession',)
slow	('slowing', 'slow', 'slowed')
monetari	('monetary',)
tighter	('tighter',)
inflat	('inflation',)
unemploy	('unemployment',)
wide-rang	('wide-ranging',)
license	('licensees',)
insolv	('insolvency',)
back	('back',)
exit	('exit', 'exited')
merg	('merge',)
bankruptci	('bankruptcy',)
counterparti	('counterparties',)
boycott	('boycott', 'boycotts')
isra	('israeli',)
water	('water',)
heat	('heat',)
coupl	('coupled',)
dri	('dry',)
northern	('northern',)
wildfir	('wildfire', 'wildfires')
instabl	('instability',)
attrit	('attrition',)
casualti	('casualty',)
unwil	('unwilling',)
climate-	('climate-',)
carbon	('carbon',)
pollut	('pollution',)
pass	('passed',)
insuffici	('insufficiently',)
disput	('disputes',)
change-rel	('change-related',)
influenc	('influenced',)
despit	('despite',)
hurt	('hurt',)
cyber-attack	('cyber-attacks',)
malwar	('malware',)
social-engin	('social-engineering',)
denial-of-servic	('denial-of-service',)
bug	('bugs',)
malfunct	('malfunctions',)
cyber-	('cyber-',)
awar	('aware', 'awareness')
crimin	('criminal',)
actor	('actors',)
credenti	('credentials',)
decept	('deception', 'deceptive')
two-factor	('two-factor',)
authent	('authentication',)
misappropri	('misappropriated', 'misappropriation')
leak	('leaked',)
harden	('hardened',)
exfiltr	('exfiltrated',)
ransomwar	('ransomware',)
nation-st	('nation-states',)
nation-state-	('nation-state-',)
preval	('prevalent',)
backup	('backups',)
restor	('restoring',)
feasibl	('feasible', 'feasibility')
nation-state-support	('nation-state-supported',)
geopolit	('geopolitical',)
heighten	('heightened',)
encrypt	('encryption',)
compromis	('compromised',)
exploit	('exploitable',)
log	('logs',)
alway	('always',)
unapprov	('unapproved',)
dissemin	('dissemination',)
misus	('misuse',)
indemnif	('indemnification', 'indemnifications')
lost	('lost',)
outag	('outages',)
terrorist	('terrorist',)
violenc	('violence',)
unrest	('unrest',)
epidem	('epidemics',)
man-mad	('man-made',)
earthquak	('earthquakes',)
geograph	('geographical', 'geographic')
russia	('russia',)
ukrain	('ukraine',)
fewer	('fewer',)
littl	('little',)
penalti	('penalty', 'penalties')
discontinu	('discontinue',)
extern	('external',)
immigr	('immigration',)
longstand	('longstanding',)
smooth	('smooth',)
hinder	('hinder',)
proper	('proper',)
erp	('erp',)
costli	('costly',)
weak	('weaknesses', 'weakness')
inaccur	('inaccurate',)
sanction	('sanctions',)
certainti	('certainty',)
pose	('posed', 'poses')
diseas	('disease',)
reopen	('reopen', 'reopened')
increment	('incremental',)
onsit	('onsite',)
in-offic	('in-office',)
though	('though',)
offset	('offset', 'offsets', 'offsetting')
shortfal	('shortfalls',)
bad	('bad',)
oner	('onerous',)
corrupt	('corrupt',)
one	('ones',)
anti-competit	('anti-competition',)
concentr	('concentration', 'concentrated', 'concentrations')
decre	('decrees',)
quota	('quotas',)
barrier	('barriers',)
russian	('russian',)
alli	('allies',)
deal	('dealings', 'dealing', 'deal')
passag	('passage',)
ukrainian	('ukrainian',)
tension	('tensions', 'tension')
korea	('korea',)
abroad	('abroad',)
chines	('chinese',)
imposit	('imposition',)
retaliatori	('retaliatory',)
resolv	('resolve', 'resolved')
draw	('draw',)
undermin	('undermine',)
scrutini	('scrutiny',)
unsuccess	('unsuccessful',)
alleg	('alleging', 'alleged')
unfavor	('unfavorable',)
invalid	('invalidation',)
injunct	('injunctive', 'injunction')
countersuit	('countersuits',)
indemnite	('indemnitees', 'indemnitee')
royalti	('royalty', 'royalties')
cross	('cross',)
theft	('theft',)
stringent	('stringent',)
deter	('deter',)
privacy-rel	('privacy-related',)
unfound	('unfounded',)
european	('european',)
union	('union',)
gdpr	('gdpr', 'gdprs')
strict	('strict',)
handl	('handling',)
eea	('eea',)
store	('stored', 'store', 'stores')
delet	('delete',)
\u20ac20	('\\u20ac20',)
4%	('4%',)
whichev	('whichever',)
cross-bord	('cross-border',)
claus	('clauses',)
validli	('validly',)
europ	('europe',)
notif	('notification',)
ccpa	('ccpa',)
opt-out	('opt-out',)
cpra	('cpra',)
cross-contextu	('cross-contextual',)
virginia	('virginia',)
colorado	('colorado',)
fashion	('fashion',)
necessit	('necessitate',)
ban	('bans',)
destroy	('destroy',)
multin	('multinational',)
non-income-bas	('non-income-based',)
value-ad	('value-added',)
examin	('examination', 'examining')
germani	('germany',)
disagre	('disagree',)
non-incom	('non-income',)
congress	('congress',)
intergovernment	('intergovernmental',)
oecd	('oecd',)
taxpay	('taxpayers',)
fifteen	('fifteen',)
valuat	('valuation',)
defici	('deficiencies', 'deficient')
statut	('statute',)
appeal	('appeal', 'appeals')
dismiss	('dismissal', 'dismiss')
assert	('assert', 'asserted', 'asserts', 'asserting')
fals	('false',)
mislead	('misleading',)
stop	('stopping', 'stopped')
compulsori	('compulsory',)
indebted	('indebtedness',)
2060	('2060',)
matur	('matures', 'maturity', 'maturities', 'mature')
redeem	('redeemed', 'redeem')
$575	('$575',)
react	('reacting',)
lien	('liens',)
indentur	('indenture',)
lender	('lenders',)
anti-takeov	('anti-takeover',)
discourag	('discourage',)
super-major	('super-majority',)
xbox	('xbox',)
someon	('someone',)
76\xa0million	('76\\xa0million',)
feet	('feet',)
campu	('campus',)
suitabl	('suitable',)
select\xa0market	('select\\xa0market',)
approximately\xa0313	('approximately\\xa0313',)
of\xa01	('of\\xa01',)
04	('04',)
billion\xa0shar	('billion\\xa0shares',)
of\xa0$7	('of\\xa0$7',)
negoti	('negotiated',)
10b-18	('10b-18',)
paid\xa0$399	('paid\\xa0$399',)
million\xa0in	('million\\xa0in',)
349\xa0million	('349\\xa0million',)
approximately\xa08	('approximately\\xa08',)
million\xa0shar	('million\\xa0shares',)
through\xa0net	('through\\xa0net',)
paid-in	('paid-in',)
unregist	('unregistered',)
333	('333',)
graphs\xa0	('graphs\\xa0',)
january\xa0	('january\\xa0',)
january\xa029	('january\\xa029',)
return*	('return*',)
01	('01',)
*$100	('*$100',)
factset	('factset',)
218	('218',)
226	('226',)
470	('470',)
174	('174',)
97	('97',)
215	('215',)
79	('79',)
303	('303',)
operations\xa0	('operations\\xa0',)
conjunct	('conjunction',)
non-min	('non-mining',)
pre-pandem	('pre-pandemic',)
pronounc	('pronounced', 'pronouncements', 'pronouncement')
prove	('prove', 'proves')
quicker	('quicker',)
pent-up	('pent-up',)
broaden	('broadening',)
constrain	('constrained',)
non-linear	('non-linear',)
paus	('paused',)
travel	('travel',)
434	('434',)
27%	('27%',)
332	('332',)
much	('much',)
proof	('proof',)
stake	('stake',)
degrad	('degrade',)
$550	('$550',)
$161	('$161',)
compensation-rel	('compensation-related',)
$21	('$21',)
riva	('riva',)
modulu	('modulus',)
reopt	('reopt',)
quantum-2	('quantum-2',)
400gbp	('400gbps',)
line-up	('line-ups',)
uniti	('unity',)
a30	('a30',)
a10	('a10',)
debut	('debuted',)
crisi	('crisis',)
atlan	('atlan',)
eq	('eqs',)
sedan	('sedan',)
volvo	('volvo',)
next-	('next-',)
xc90	('xc90',)
r-auto	('r-auto',)
im	('im',)
nio	('nio',)
faraday	('faraday',)
vinfast	('vinfast',)
robotaxi	('robotaxis', 'robotaxi')
cruis	('cruise',)
zoox	('zoox',)
poni	('pony',)
autox	('autox',)
embark	('embark',)
kodiak	('kodiak',)
jointli	('jointly',)
desay	('desay',)
quanta	('quanta',)
valeo	('valeo',)
zf	('zf',)
on-go	('on-going',)
10-	('10-',)
first-in	('first-in',)
first-out	('first-out',)
obsolet	('obsolete',)
sudden	('sudden',)
insignific	('insignificant',)
maxim	('maximizing',)
observ	('observable', 'observed')
ratabl	('ratably',)
rebat	('rebates',)
resel	('resellers', 'reseller')
mdf	('mdfs',)
moni	('monies',)
earmark	('earmarked',)
refund	('refundable',)
temporari	('temporary',)
carryforward	('carryforwards', 'carryforward')
unnecessari	('unnecessary',)
$907\xa0million	('$907\\xa0million',)
more-	('more-',)
likely-than-not	('likely-than-not',)
more-likely-than-not	('more-likely-than-not',)
unrecogn	('unrecognized',)
unit\xa0in	('unit\\xa0in',)
35\xa0	('35\\xa0',)
$361\xa0million	('$361\\xa0million',)
99\xa0billion	('99\\xa0billion',)
unpredict	('unpredictable',)
834	('834',)
034	('034',)
046	('046',)
841	('841',)
205	('205',)
vertic	('vertical',)
for\xa084%	('for\\xa084%',)
81%	('81%',)
years\xa02022	('years\\xa02022',)
overhead	('overhead',)
fallout	('fallout',)
$354	('$354',)
$116	('$116',)
written-off	('written-off',)
written-down	('written-down',)
$111	('$111',)
$145	('$145',)
924	('924',)
12%	('12%',)
$57	('$57',)
coupon	('coupon',)
$236	('$236',)
$184	('$184',)
$107	('$107',)
part\xa0iv	('part\\xa0iv',)
item\xa015	('item\\xa015',)
$189	('$189',)
$77	('$77',)
foreign-deriv	('foreign-derived',)
21%	('21%',)
british	('british',)
virgin	('virgin',)
830	('830',)
865	('865',)
forese	('foreseeable',)
\xa0govern	('\\xa0government',)
accumul	('accumulated',)
2028	('2028',)
2031	('2031',)
2040	('2040',)
2050	('2050',)
$729	('$729',)
$59	('$59',)
non-curr	('non-current',)
climate-rel	('climate-related',)
1\xa0	('1\\xa0',)
part\xa0	('part\\xa0',)
item\xa0	('item\\xa0',)
for\xa0a	('for\\xa0a',)
fixed-r	('fixed-rate',)
curv	('curve',)
zero	('zero',)
floor	('floor',)
$33	('$33',)
unamort	('unamortized',)
sheet	('sheets', 'sheet')
bear	('bear',)
remeasur	('remeasurement', 'remeasured')
movement	('movements',)
spot	('spot',)
reclassifi	('reclassified', 'reclassify')
ineffect	('ineffectiveness',)
$103	('$103',)
$84	('$84',)
$41	('$41',)
$44	('$44',)
item\xa08	('item\\xa08',)
item\xa09a	('item\\xa09a',)
13a-15	('13a-15',)
rule\xa0	('rule\\xa0',)
supervis	('supervision',)
sponsor	('sponsoring', 'sponsors')
treadway	('treadway',)
ledger	('ledger',)
conceiv	('conceived',)
item\xa09b	('item\\xa09b',)
\xa0\xa0oth	('\\xa0\\xa0other',)
part\xa0iii	('part\\xa0iii',)
omit	('omitted',)
regulation\xa014a	('regulation\\xa014a',)
120\xa0day	('120\\xa0days',)
caption	('caption', 'captions', 'captioned')
\xa0compens	('\\xa0compensation',)
compensation\xa0and	('compensation\\xa0and',)
-\xa0independ	('-\\xa0independence',)
pcaob	('pcaob',)
id	('id',)
238	('238',)
coso	('coso',)
fairli	('fairly',)
misstat	('misstatement', 'misstatements')
deterior	('deteriorate',)
especi	('especially',)
605	('605',)
accuraci	('accuracy',)
jose	('jose',)
march\xa017	('march\\xa017',)
829	('829',)
178	('178',)
236	('236',)
124	('124',)
409	('409',)
189	('189',)
796	('796',)
basic	('basic',)
available-for-sal	('available-for-sale',)
reclassif	('reclassification', 'reclassifications')
350	('350',)
826	('826',)
prepaid	('prepaid', 'prepaids')
366	('366',)
055	('055',)
778	('778',)
707	('707',)
349	('349',)
193	('193',)
339	('339',)
222	('222',)
791	('791',)
777	('777',)
335	('335',)
925	('925',)
964	('964',)
634	('634',)
553	('553',)
898	('898',)
issued\xa0and	('issued\\xa0and',)
859	('859',)
479	('479',)
january\xa031	('january\\xa031',)
719	('719',)
380	('380',)
756	('756',)
235	('235',)
612	('612',)
common\xa0stock	('common\\xa0stock',)
263	('263',)
565	('565',)
plans\xa0	('plans\\xa0',)
551	('551',)
043	('043',)
814	('814',)
194	('194',)
86	('86',)
reconcil	('reconcile', 'reconciling')
098	('098',)
774	('774',)
597	('597',)
715	('715',)
394	('394',)
163	('163',)
197	('197',)
023	('023',)
527	('527',)
365	('365',)
787	('787',)
461	('461',)
145	('145',)
977	('977',)
782	('782',)
52-	('52-',)
wholly-own	('wholly-owned',)
intercompani	('intercompany',)
mainli	('mainly',)
when-and-if	('when-and-if',)
unspecifi	('unspecified',)
front	('front',)
host	('hosted', 'host')
subscription-bas	('subscription-based',)
mont	('monte',)
carlo	('carlo',)
market-bas	('market-based',)
requisit	('requisite', 'requisitions')
black-schol	('black-scholes',)
judgement	('judgements',)
end-of-period	('end-of-period',)
non-monetari	('non-monetary',)
$907	('$907',)
anti-dilut	('anti-dilutive',)
readili	('readily',)
classifi	('classify', 'classified')
interest-bear	('interest-bearing',)
specific-identif	('specific-identification',)
short	('short',)
cash-	('cash-',)
highly-r	('highly-rated',)
written-up	('written-up',)
noncancel	('noncancelable',)
remov	('removed', 'removing')
thirti	('thirty',)
leasehold	('leasehold',)
non-leas	('non-lease',)
\xa0for	('\\xa0for',)
our\xa0impair	('our\\xa0impairment',)
we\xa0perform	('we\\xa0perform',)
analysis\xa0on	('analysis\\xa0on',)
residu	('residual',)
in-process	('in-process',)
ipr&d	('ipr&d',)
finit	('finite',)
twenti	('twenty',)
indefinit	('indefinite', 'indefinitely')
amortiz	('amortizable',)
whenev	('whenever',)
recover	('recoverable', 'recoverability')
undiscount	('undiscounted',)
tangibl	('tangible',)
non-market	('non-marketable',)
privately-held	('privately-held',)
unobserv	('unobservable',)
inact	('inactive', 'inactions')
investe	('investee',)
publicly-held	('publicly-held',)
octob	('october',)
606	('606',)
36\xa0	('36\\xa0',)
13\xa0	('13\\xa0',)
033	('033',)
134	('134',)
115	('115',)
320	('320',)
431	('431',)
$125	('$125',)
56\xa0	('56\\xa0',)
249\xa0	('249\\xa0',)
pre-combin	('pre-combination',)
$28\xa0million	('$28\\xa0million',)
440	('440',)
backlog	('backlog',)
190	('190',)
finite-liv	('finite-lived',)
multi-period	('multi-period',)
relief-from-royalti	('relief-from-royalty',)
indefinite-liv	('indefinite-lived',)
$630\xa0	('$630\\xa0',)
unaudit	('unaudited',)
forma	('forma',)
757	('757',)
necessarili	('necessarily',)
$161\xa0million	('$161\\xa0million',)
nonrecur	('nonrecurring',)
2035	('2035',)
in\xa0million	('in\\xa0millions',)
2027	('2027',)
885	('885',)
$169\xa0million	('$169\\xa0million',)
$168	('$168',)
$114	('$114',)
154	('154',)
$80\xa0million	('$80\\xa0million',)
87%	('87%',)
statements\xa0	('statements\\xa0',)
449	('449',)
grant-dat	('grant-date',)
764	('764',)
using\xa0th	('using\\xa0the',)
1-2	('1-2',)
risk-fre	('risk-free',)
%-0	('%-0',)
1%-1	('1%-1',)
5%-2	('5%-2',)
20%-58%	('20%-58%',)
26%-89%	('26%-89%',)
30%-82%	('30%-82%',)
1%-0	('1%-0',)
3%-0	('3%-0',)
market-	('market-',)
semi-annu	('semi-annually',)
non-statutori	('non-statutory',)
6\xa0million	('6\\xa0million',)
131	('131',)
four-year	('four-year',)
85%	('85%',)
233\xa0million	('233\\xa0million',)
grant-	('grant-',)
of\xa0january\xa030	('of\\xa0january\\xa030',)
2022\xa0and\xa0january\xa031	('2022\\xa0and\\xa0january\\xa031',)
intrins	('intrinsic',)
38\xa0billion	('38\\xa0billion',)
$741\xa0million	('$741\\xa0million',)
$521\xa0million	('$521\\xa0million',)
$84\xa0million	('$84\\xa0million',)
january\xa026	('january\\xa026',)
56\xa0billion	('56\\xa0billion',)
67\xa0billion	('67\\xa0billion',)
45\xa0billion	('45\\xa0billion',)
35\xa0billion	('35\\xa0billion',)
$361\xa0	('$361\\xa0',)
99\xa0	('99\\xa0',)
19\xa0billion	('19\\xa0billion',)
$347\xa0	('$347\\xa0',)
85\xa0	('85\\xa0',)
$156\xa0million	('$156\\xa0million',)
$143\xa0million	('$143\\xa0million',)
$13\xa0	('$13\\xa0',)
net\xa0	('net\\xa0',)
304	('304',)
717	('717',)
225	('225',)
706	('706',)
135	('135',)
986	('986',)
$630\xa0million	('$630\\xa0million',)
$563	('$563',)
$612	('$612',)
$585	('$585',)
$461	('$461',)
$405	('$405',)
$121	('$121',)
102	('102',)
bond	('bonds',)
695	('695',)
442	('442',)
234	('234',)
states\xa0govern	('states\\xa0government',)
975	('975',)
313	('313',)
637	('637',)
breakdown	('breakdown',)
445	('445',)
464	('464',)
584	('584',)
566	('566',)
hierarchi	('hierarchy',)
fair\xa0value\xa0at	('fair\\xa0value\\xa0at',)
011	('011',)
309%	('309%',)
584%	('584%',)
00%	('00%',)
066	('066',)
147	('147',)
602	('602',)
$48\xa0million	('$48\\xa0million',)
publicly-trad	('publicly-traded',)
692	('692',)
useful\xa0lif	('useful\\xa0life',)
furnitur	('furniture',)
874	('874',)
3-5	('3-5',)
558	('558',)
681	('681',)
903	('903',)
non-depreci	('non-depreciable',)
lesser	('lesser',)
$611	('$611',)
$486	('$486',)
$355	('$355',)
$265	('$265',)
$223	('$223',)
$258\xa0million	('$258\\xa0million',)
$157\xa0million	('$157\\xa0million',)
$212\xa0million	('$212\\xa0million',)
747	('747',)
357	('357',)
accrual	('accruals', 'accrual')
297	('297',)
647	('647',)
241	('241',)
202	('202',)
$670	('$670',)
451	('451',)
201	('201',)
361	('361',)
502	('502',)
invoic	('invoiced', 'invoicing')
$624\xa0	('$624\\xa0',)
49%	('49%',)
2022\xa0and	('2022\\xa0and',)
notion	('notional',)
non-design	('non-designated',)
441	('441',)
within\xa0eighteen	('within\\xa0eighteen',)
was\xa0not	('was\\xa0not',)
00\xa0	('00\\xa0',)
98\xa0billion	('98\\xa0billion',)
97\xa0billion	('97\\xa0billion',)
repaid	('repaid',)
00\xa0billion	('00\\xa0billion',)
unsecur	('unsecured',)
make-whol	('make-whole',)
09%	('09%',)
54%	('54%',)
963	('963',)
58\xa0billion	('58\\xa0billion',)
unpaid	('unpaid',)
30\xa0billion	('30\\xa0billion',)
uncondit	('unconditional',)
302	('302',)
765	('765',)
$670\xa0million	('$670\\xa0million',)
nine	('nine',)
$46	('$46',)
plaintiff	('plaintiffs',)
18-cv-07669-hsg	('18-cv-07669-hsg',)
district	('district',)
court	('court',)
re	('re',)
10b-5	('10b-5',)
sought	('sought',)
compensatori	('compensatory',)
attorney	('attorneys', 'attorney')
motion	('motion',)
ninth	('ninth',)
21-15604	('21-15604',)
oral	('oral',)
argument	('argument',)
19-cv-00341-hsg	('19-cv-00341-hsg',)
stay	('stayed', 'stay')
purportedli	('purportedly',)
unjust	('unjust',)
wast	('waste',)
allegedli	('allegedly',)
lipchitz	('lipchitz',)
et	('et',)
19-cv-01795-una	('19-cv-01795-una',)
nelson	('nelson',)
19-	('19-',)
cv-01798-	('cv-01798-',)
una	('una',)
year\xa0end	('year\\xa0ended',)
482	('482',)
161	('161',)
156	('156',)
446	('446',)
972	('972',)
926	('926',)
337	('337',)
289	('289',)
244	('244',)
798	('798',)
530	('530',)
gilti	('gilti',)
378	('378',)
709	('709',)
118	('118',)
315	('315',)
907	('907',)
978	('978',)
unremit	('unremitted',)
$806	('$806',)
$245	('$245',)
$241	('$241',)
$174	('$174',)
simplifi	('simplified',)
non-u	('non-u',)
eros	('erosion',)
re-valu	('re-valuing',)
$244\xa0million	('$244\\xa0million',)
$256\xa0million	('$256\\xa0million',)
undistribut	('undistributed',)
$153\xa0million	('$153\\xa0million',)
05\xa0billion	('05\\xa0billion',)
$232\xa0million	('$232\\xa0million',)
$907\xa0	('$907\\xa0',)
$728\xa0	('$728\\xa0',)
$397	('$397',)
$345	('$345',)
$341	('$341',)
$102	('$102',)
2042	('2042',)
$55\xa0million	('$55\\xa0million',)
authorit	('authoritative',)
deni	('denied', 'denies')
$808	('$808',)
$181	('$181',)
$138	('$138',)
583	('583',)
013	('013',)
$31	('$31',)
tax-rel	('tax-related',)
of\xa0	('of\\xa0',)
billion\xa0	('billion\\xa0',)
to\xa0$7	('to\\xa0$7',)
7\xa0million	('7\\xa0million',)
75\xa0billion	('75\\xa0billion',)
$395\xa0million	('$395\\xa0million',)
$390\xa0million	('$390\\xa0million',)
$20\xa0	('$20\\xa0',)
0\xa0	('0\\xa0',)
$120	('$120',)
$76	('$76',)
information\xa0	('information\\xa0',)
codm	('codm',)
interseg	('intersegment',)
548	('548',)
267	('267',)
step-	('step-',)
unalloc	('unallocated',)
531	('531',)
025	('025',)
886	('886',)
910	('910',)
044	('044',)
276	('276',)
represented\xa011%	('represented\\xa011%',)
represented\xa022%	('represented\\xa022%',)
16%\xa0of	('16%\\xa0of',)
of\xa0january\xa031	('of\\xa0january\\xa031',)
631	('631',)
505	('505',)
78	('78',)
643	('643',)
379	('379',)
balance\xa0at	('balance\\xa0at',)
doubt	('doubtful',)
562	('562',)
teal	('teal',)
barvaz	('barvaz',)
2^	('2^',)
1*	('1*',)
specimen	('specimen',)
s-1	('s-1',)
333-47495	('333-47495',)
fargo	('fargo',)
annex	('annex',)
7*	('7*',)
c-1	('c-1',)
d-1	('d-1',)
2+	('2+',)
3+	('3+',)
4+	('4+',)
5+	('5+',)
6+	('6+',)
non	('non',)
7+	('7+',)
8+	('8+',)
9+	('9+',)
10+	('10+',)
11+	('11+',)
12+	('12+',)
13+	('13+',)
14+	('14+',)
15+	('15+',)
16+*	('16+*',)
17+	('17+',)
18+	('18+',)
19+	('19+',)
20+	('20+',)
21+	('21+',)
22+	('22+',)
tim	('tim',)
23+	('23+',)
donald	('donald',)
dealer	('dealer',)
13a-14	('13a-14',)
2*	('2*',)
1#*	('1#*',)
2#*	('2#*',)
ins*	('ins*',)
xbrl	('xbrl',)
sch*	('sch*',)
taxonomi	('taxonomy',)
schema	('schema',)
cal*	('cal*',)
linkbas	('linkbase',)
def*	('def*',)
lab*	('lab*',)
label	('labels',)
pre*	('pre*',)
tag	('tags',)
inlin	('inline',)
*\xa0	('*\\xa0',)
+\xa0\xa0manag	('+\\xa0\\xa0management',)
#\xa0	('#\\xa0',)
601	('601',)
33-8238	('33-8238',)
34-47986	('34-47986',)
hereto	('hereto',)
section\xa018	('section\\xa018',)
^	('^',)
ca\xa095051	('ca\\xa095051',)
item\xa016	('item\\xa016',)
section\xa013	('section\\xa013',)
undersign	('undersigned',)
thereunto	('thereunto',)
huang\xa0	('huang\\xa0',)
attorney-in-fact	('attorney-in-fact',)
resubstitut	('resubstitution',)
stead	('stead',)
unto	('unto',)
said	('said',)
attorneys-in-fact	('attorneys-in-facts', 'attorneys-in-fact')
done	('done',)
confirm	('confirming', 'confirm')
kress\xa0	('kress\\xa0',)
president\xa0and\xa0chief	('president\\xa0and\\xa0chief',)
coxe\xa0\xa0	('coxe\\xa0\\xa0',)
coxe\xa0	('coxe\\xa0',)
jones\xa0	('jones\\xa0',)
perry\xa0	('perry\\xa0',)
seawell\xa0	('seawell\\xa0',)
stevens\xa0	('stevens\\xa0',)
chri	('chris',)
malachowski	('malachowsky',)
jay	('jay',)
almaden	('almaden',)
1800	('1800',)
95110	('95110',)
3175	('3175',)
hanov	('hanover',)
palo	('palo',)
alto	('alto',)
94304	('94304',)
registrar	('registrar',)
505000	('505000',)
louisvil	('louisville',)
kentucki	('kentucky',)
40233-5005	('40233-5005',)
pdt	('pdt',)
virtualsharehold	('virtualshareholder',)
corporation\u2003	('corporation\\u2003',)
\u2003	('\\u2003',)
95051\u2003	('95051\\u2003',)
big	('big',)
moment	('moment',)
here	('here',)
engadget	('engadget',)
cant	('cant',)
ignit	('ignited',)
bang	('bang',)
iphon	('iphone',)
bloomberg	('bloomberg',)
realist	('realistic',)
4080	('4080',)
superpod	('superpods', 'superpod')
4080-class	('4080-class',)
instantli	('instantly',)
browser	('browser',)
digital-to-phys	('digital-to-physical',)
model-mak	('model-making',)
tap	('tap',)
$250	('$250',)
jump	('jumping',)
novel	('novel',)
molecul	('molecules',)
protein-bas	('protein-based',)
medicin	('medicines', 'medicine')
state-of-the-art	('state-of-the-art',)
siliconangl	('siliconangle',)
layout	('layouts',)
mercedes-	('mercedes-',)
cabin	('cabins',)
culitho	('culitho',)
lithographi	('lithography',)
supercharg	('supercharges',)
immens	('immense', 'immensely')
tsmc	('tsmc',)
asml	('asml',)
pave	('paves',)
2nm	('2nm',)
headwind	('headwinds',)
swung	('swung',)
rose	('rose',)
skyrocket	('skyrocket',)
four-	('four-',)
decade-long	('decade-long',)
exponenti	('exponential',)
cpu-	('cpu-',)
general-purpos	('general-purpose',)
heard	('heard',)
showcas	('showcased',)
sens	('sense',)
reimagin	('reimagine',)
pharmaceut	('pharmaceutical',)
\u2026	('\\u2026',)
easi	('easy',)
particl	('particle',)
cuda-	('cuda-',)
speedup	('speedups', 'speedup')
flat	('flat',)
-8	('-8',)
-55%	('-55%',)
mask	('mask',)
overnight	('overnight',)
that	('thats',)
importantli	('importantly',)
miracl	('miracle',)
near	('near',)
high-numer	('high-numerical',)
apertur	('aperture',)
ultraviolet	('ultraviolet',)
radic	('radical',)
invers	('inverse',)
1-2%	('1-2%',)
bend	('bending',)
trendlin	('trendline',)
runaway	('runaway',)
storm	('storm', 'storms')
captiv	('captivated',)
vast	('vast',)
human-lik	('human-like',)
contextu	('contextually',)
nuanc	('nuances',)
grammar	('grammar',)
syntax	('syntax',)
distinguish	('distinguish',)
nlp	('nlp',)
music	('music',)
neuron	('neurons',)
byte	('bytes',)
unison	('unison',)
converg	('convergence',)
realm	('realm',)
narrow	('narrowed',)
simple-to-us	('simple-to-use',)
plain	('plain',)
seemingli	('seemingly',)
remark	('remarkable',)
eas	('ease',)
fastest-grow	('fastest-growing',)
what	('whats',)
rigor	('rigorous',)
trustworthi	('trustworthiness', 'trustworthy')
factual	('factual',)
guardrail	('guardrails',)
well-regard	('well-regarded',)
prolifer	('proliferating', 'proliferation')
10-15	('10-15',)
early-stag	('early-stage',)
amgen	('amgen',)
astrazeneca	('astrazeneca',)
insilico	('insilico',)
evozyn	('evozyne',)
innophor	('innophore',)
alchemab	('alchemab',)
early-access	('early-access',)
insati	('insatiable',)
zero-billion-dollar	('zero-billion-dollar',)
math	('math',)
prowess	('prowess',)
circl	('circle',)
shader	('shaders',)
pixel	('pixels',)
4x	('4x',)
pixel-predict	('pixel-prediction',)
reflex	('reflex',)
100+	('100+',)
10-year	('10-year',)
halo	('halo',)
minecraft	('minecraft',)
elder	('elder',)
scroll	('scrolls',)
bethesda	('bethesda',)
mojang	('mojang',)
activis	('activision',)
closur	('closure', 'closures')
life-sav	('life-saving',)
ground	('grounded',)
easier	('easier',)
onedr	('onedrive',)
sharepoint	('sharepoint',)
iot	('iot',)
last-minut	('last-minute',)
surpris	('surprises',)
\u203a	('\\u203a',)
scenario	('scenarios',)
epicent	('epicenter',)
reclaim	('reclaim',)
impossible-	('impossible-',)
to-solv	('to-solve',)
model-	('model-',)
magnific	('magnificent',)
nvda2023	('nvda2023',)
frequenc	('frequency',)
cr	('cr',)
erm	('erm',)
rba	('rba', 'rbas')
$27	('$27',)
other*	('other*',)
36%	('36%',)
\u25e6	('\\u25e6',)
groundbreak	('groundbreaking',)
enterprise-level	('enterprise-level',)
instant	('instant',)
*repres	('*represents',)
$203	('$203',)
pool	('pool',)
self	('self',)
record-level	('record-level',)
$38	('$38',)
99th	('99th',)
say-on-frequ	('say-on-frequency',)
stockholder-	('stockholder-',)
129	('129',)
295	('295',)
564	('564',)
648	('648',)
non-discretionari	('non-discretionary',)
14a-8	('14a-8',)
120th	('120th',)
apart	('apart',)
benton\xa0	('benton\\xa0',)
francisco-	('francisco-',)
entrepreneur-in-resid	('entrepreneur-in-residence',)
robust	('robust',)
latter	('latter',)
conven	('convening',)
themself	('themself',)
preapprov	('preapproval',)
formerli	('formerly',)
belong	('belonging',)
thorough	('thorough',)
escal	('escalation',)
staf	('staffed',)
proactiv	('proactively',)
overseen	('overseen',)
short-	('short-',)
